GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spotitube,nl.han.aim.oose.dea.datasource.databaseconnection,DatabaseConnector,32,0,0,0,9,0,3,0,3,0
Spotitube,nl.han.aim.oose.dea.datasource.databaseconnection,DatabaseProperties,7,33,0,0,2,8,0,3,0,3
Spotitube,nl.han.aim.oose.dea.datasource.dao,LoginDao,0,83,2,4,0,22,2,5,0,4
Spotitube,nl.han.aim.oose.dea.datasource.dao,TrackDao,21,144,0,4,6,41,0,9,0,7
Spotitube,nl.han.aim.oose.dea.datasource.dao,PlaylistDao,31,181,4,6,9,50,4,9,0,8
Spotitube,nl.han.aim.oose.dea.datasource.mapper,PlaylistMapper,0,14,0,0,0,4,0,2,0,2
Spotitube,nl.han.aim.oose.dea.datasource.mapper,LoginResponseMapper,0,10,0,0,0,2,0,2,0,2
Spotitube,nl.han.aim.oose.dea.datasource.mapper,TrackMapper,0,43,0,0,0,15,0,2,0,2
Spotitube,nl.han.aim.oose.dea,Spotitube,8,0,0,0,3,0,2,0,2,0
Spotitube,nl.han.aim.oose.dea.service.dto,LoginTokenDTO,8,16,0,0,2,6,2,3,2,3
Spotitube,nl.han.aim.oose.dea.service.dto,PlaylistsResponseDTO,8,15,0,0,2,6,2,3,2,3
Spotitube,nl.han.aim.oose.dea.service.dto,TrackDTO,40,66,0,0,10,23,10,12,10,12
Spotitube,nl.han.aim.oose.dea.service.dto,PlaylistDTO,18,30,0,0,5,10,5,5,5,5
Spotitube,nl.han.aim.oose.dea.service.dto,UserDTO,0,17,0,0,0,8,0,5,0,5
Spotitube,nl.han.aim.oose.dea.resource,LoginResource,0,24,0,2,0,7,0,4,0,3
Spotitube,nl.han.aim.oose.dea.resource,TrackResource,0,20,0,0,0,5,0,3,0,3
Spotitube,nl.han.aim.oose.dea.resource,PlaylistResource.TracksResponse,0,9,0,0,0,4,0,2,0,2
Spotitube,nl.han.aim.oose.dea.resource,PlaylistResource,0,95,0,0,0,19,0,10,0,10
Spotitube,nl.han.aim.oose.dea.resource,TrackResource.TracksResponse,3,6,0,0,1,3,1,1,1,1
Spotitube,nl.han.aim.oose.dea.resource,CorsFilter,32,0,2,0,8,0,3,0,2,0
Spotitube,nl.han.aim.oose.dea.service.exception,UserNotAuthorizedException,0,4,0,0,0,2,0,1,0,1
Spotitube,nl.han.aim.oose.dea.service,PlaylistService,0,31,0,0,0,7,0,6,0,6
Spotitube,nl.han.aim.oose.dea.service,LoginService,0,15,0,0,0,4,0,3,0,3
Spotitube,nl.han.aim.oose.dea.service,TrackService,0,29,0,0,0,7,0,6,0,6
